"sponsor_name","phase","trial_count","rank_within_phase"
Hôpital du Valais,NA,1,48
Beijing Chest Hospital,NA,1,48
Ontario Clinical Oncology Group (OCOG),NA,1,48
"Merck KGaA, Darmstadt, Germany",NA,1,48
Jiangxi Provincial People's Hopital,NA,1,48
Jiangxi Provincial Cancer Hospital,NA,1,48
Indiana University,NA,1,48
"Kai-Uwe Schmitt, PhD, MEng, ICID",NA,1,48
Tongji University,NA,1,48
Erasmus Medical Center,NA,1,48
Hacettepe University,NA,1,48
Huashan Hospital,NA,1,48
Kentuckiana Cancer Institute,NA,1,48
NRG Oncology,NA,1,48
Timothy Mullett,NA,1,48
Guizhou Medical University,NA,1,48
Zhejiang University,NA,1,48
Ningbo Medical Center Lihuili Hospital,NA,1,48
Tianjin Medical University Cancer Institute and Hospital,NA,1,48
First Affiliated Hospital of Ningbo University,NA,1,48
Third Military Medical University,NA,1,48
Necmettin Erbakan University,NA,1,48
National Cheng-Kung University Hospital,NA,1,48
The University of Queensland,NA,1,48
Fondazione del Piemonte per l'Oncologia,NA,1,48
Fondazione IRCCS Policlinico San Matteo di Pavia,NA,1,48
"National Cancer Institute, Naples",NA,1,48
"Varian, a Siemens Healthineers Company",NA,1,48
Mid and South Essex NHS Foundation Trust,NA,1,48
The First Hospital of Jilin University,NA,1,48
Igen BioLab SLU,NA,1,48
Fujian Cancer Hospital,NA,1,48
Naestved Hospital,NA,1,48
Lindis Bloodcare GmbH,NA,1,48
Milton S. Hershey Medical Center,NA,1,48
Jesús González,NA,1,48
The First Hospital of Hebei Medical University,NA,1,48
Jessica Mezzanotte Sharpe,NA,1,48
The First Affiliated Hospital of Soochow University,NA,1,48
BioSyngen Pte Ltd,NA,1,48
"Biotech Pharmaceutical Co., Ltd.",NA,1,48
The First Affiliated Hospital of Nanchang University,NA,1,48
University of Vermont Medical Center,NA,1,48
The Cleveland Clinic,NA,1,48
Jonsson Comprehensive Cancer Center,NA,1,48
Texas A&M University,NA,1,48
Western Regional Medical Center,NA,1,48
Anhui Provincial Cancer Hospital,NA,1,48
Li Zhang,NA,1,48
Tau Medical Australia Pty Ltd,NA,1,48
Tang-Du Hospital,NA,1,48
University of Texas Southwestern Medical Center,NA,1,48
"Jerome Canady, M.D.",NA,1,48
SWOG Cancer Research Network,NA,1,48
Campus Bio-Medico University,NA,1,48
Swiss Cancer Institute,NA,1,48
Swedish Lung Cancer Study Group,NA,1,48
LuBing,NA,1,48
University of Southern California,NA,1,48
Guangdong Association of Clinical Trials,NA,1,48
Johns Hopkins University,NA,1,48
Guy's and St Thomas' NHS Foundation Trust,NA,1,48
Capital Medical University,NA,1,48
"Joachim Aerts, MD PhD",NA,1,48
Case Comprehensive Cancer Center,NA,1,48
University of Pennsylvania,NA,1,48
West China Hospital,NA,1,48
Hasselt University,NA,1,48
Zhongnan Hospital,NA,1,48
St. Joseph's Healthcare Hamilton,NA,1,48
"University of North Carolina, Chapel Hill",NA,1,48
University of Nebraska,NA,1,48
Karl Kölbeck,NA,1,48
University of Michigan Rogel Cancer Center,NA,1,48
"Central Hospital, Nancy, France",NA,1,48
Spanish Lung Cancer Group,NA,1,48
Centre de Recherche de l'Institut Universitaire de Cardiologie et de Pneumologie de Quebec,NA,1,48
Weill Medical College of Cornell University,NA,1,48
"Maggiore Bellaria Hospital, Bologna",NA,1,48
Centre Hospitalier Departemental Vendee,NA,1,48
Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,NA,1,48
AHS Cancer Control Alberta,NA,1,48
Centre Hospitalier Universitaire de Liege,NA,1,48
Istituto Oncologico Veneto IRCCS,NA,1,48
Sichuan Cancer Hospital and Research Institute,NA,1,48
University of Louisville,NA,1,48
National Cancer Institute (NCI),PHASE1,26,1
Novartis Pharmaceuticals,PHASE1,16,2
Pfizer,PHASE1,12,3
Eli Lilly and Company,PHASE1,12,3
AstraZeneca,PHASE1,12,3
AbbVie,PHASE1,9,6
"Genentech, Inc.",PHASE1,9,6
"Betta Pharmaceuticals Co., Ltd.",PHASE1,8,8
Merck Sharp & Dohme LLC,PHASE1,7,9
Hoffmann-La Roche,PHASE1,7,9
Bayer,PHASE1,7,9
H. Lee Moffitt Cancer Center and Research Institute,PHASE1,6,12
