"nct_id","phase","overall_status","enrollment","sponsor_name"
NCT06416852,PHASE3,NOT_YET_RECRUITING,428,Yantai LNC Biotechnology Singapore PTE. LTD.
NCT03014648,PHASE2,COMPLETED,28,"Liza Villaruz, MD"
NCT00642759,PHASE2,COMPLETED,36,Massachusetts General Hospital
NCT01720901,PHASE4,SUSPENDED,20,"Betta Pharmaceuticals Co., Ltd."
NCT01727076,PHASE1,COMPLETED,20,National Cancer Institute (NCI)
NCT02621398,PHASE1,COMPLETED,23,"Rutgers, The State University of New Jersey"
NCT03492801,,TERMINATED,10,University of Southern California
NCT01755923,PHASE2,UNKNOWN,60,Peking Union Medical College Hospital
NCT04124731,PHASE2,UNKNOWN,98,Shanghai Chest Hospital
NCT00655850,PHASE2,COMPLETED,39,University of Alabama at Birmingham
NCT06767514,PHASE3,RECRUITING,780,Summit Therapeutics
NCT05033691,NA,RECRUITING,162,Hadassah Medical Organization
NCT06128551,PHASE1/PHASE2,RECRUITING,534,"Revolution Medicines, Inc."
NCT05014464,PHASE2,RECRUITING,90,Hunan Province Tumor Hospital
NCT07141563,,COMPLETED,70,Bristol-Myers Squibb
NCT05775796,PHASE2,COMPLETED,30,Fudan University
NCT03305380,,COMPLETED,637,Maastricht Radiation Oncology
NCT02369198,PHASE1,COMPLETED,27,Asbestos Diseases Research Foundation
NCT02011997,PHASE3,UNKNOWN,500,The First Affiliated Hospital of Guangzhou Medical University
NCT06343402,PHASE1,RECRUITING,350,"TheRas, Inc., d/b/a BBOT (BridgeBio Oncology Therapeutics)"
NCT01631552,PHASE1/PHASE2,COMPLETED,515,Gilead Sciences
NCT07441941,,RECRUITING,190,Institut du Cancer de Montpellier - Val d'Aurelle
NCT01949701,PHASE1/PHASE2,COMPLETED,6,Shiga University
NCT05870319,PHASE3,ACTIVE_NOT_RECRUITING,376,"Sichuan Kelun-Biotech Biopharmaceutical Co., Ltd."
NCT05745740,PHASE1/PHASE2,UNKNOWN,26,"RemeGen Co., Ltd."
NCT05157542,PHASE1,UNKNOWN,9,"Juan LI, MD"
NCT03823807,PHASE2,UNKNOWN,300,"Nanjing Sanhome Pharmaceutical, Co., Ltd."
NCT01828099,PHASE3,COMPLETED,376,Novartis Pharmaceuticals
NCT00701558,PHASE2,COMPLETED,20,Hoffmann-La Roche
NCT00599755,PHASE1,COMPLETED,68,Merck Sharp & Dohme LLC
NCT03425331,PHASE2,TERMINATED,5,Dana-Farber Cancer Institute
NCT06232265,,RECRUITING,108,"Nanfang Hospital, Southern Medical University"
NCT06171789,PHASE1/PHASE2,TERMINATED,33,Genmab
NCT00291850,PHASE2,TERMINATED,50,Central European Cooperative Oncology Group
NCT04881916,,ACTIVE_NOT_RECRUITING,100,Massachusetts General Hospital
NCT04189614,PHASE1,TERMINATED,65,AbbVie
NCT07498439,EARLY_PHASE1,NOT_YET_RECRUITING,50,Tianjin Medical University General Hospital
NCT02388919,PHASE2/PHASE3,COMPLETED,439,"Chia Tai Tianqing Pharmaceutical Group Co., Ltd."
NCT06120283,PHASE1,RECRUITING,399,BeOne Medicines
NCT02515435,PHASE2,UNKNOWN,40,Tongji University
NCT02288026,,UNKNOWN,630,Capital Medical University
NCT00137839,PHASE2,COMPLETED,84,"Pasi A. Janne, MD, PhD"
NCT00102804,PHASE3,COMPLETED,663,Eli Lilly and Company
