"nct_id","phase","overall_status","enrollment","sponsor_name"
NCT01401192,PHASE2,UNKNOWN,304,Samsung Medical Center
NCT03519971,PHASE3,ACTIVE_NOT_RECRUITING,328,AstraZeneca
NCT05675033,PHASE2,UNKNOWN,50,Fujian Cancer Hospital
NCT05538572,PHASE1,COMPLETED,22,Prelude Therapeutics
NCT07227168,PHASE1,RECRUITING,200,"Sutro Biopharma, Inc."
NCT02630186,PHASE1/PHASE2,TERMINATED,3,"Clovis Oncology, Inc."
NCT06162572,PHASE1/PHASE2,ACTIVE_NOT_RECRUITING,102,Servier Bio-Innovation LLC
NCT04900363,PHASE1/PHASE2,COMPLETED,108,Akeso
NCT01605916,PHASE1,COMPLETED,33,AstraZeneca
NCT01744925,PHASE2,UNKNOWN,60,Tianjin Medical University Cancer Institute and Hospital
NCT01488331,,COMPLETED,217,Hoffmann-La Roche
NCT07164885,NA,RECRUITING,911,Capital Medical University
NCT04974957,PHASE2,UNKNOWN,71,"Suzhou Suncadia Biopharmaceuticals Co., Ltd."
NCT07063329,PHASE1/PHASE2,NOT_YET_RECRUITING,108,"Avistone Pharmaceutical（Ningbo）Co., LTD."
NCT01871805,PHASE1/PHASE2,COMPLETED,134,Hoffmann-La Roche
NCT01210053,PHASE2,UNKNOWN,30,Third Military Medical University
NCT05226598,PHASE3,COMPLETED,739,Merck Sharp & Dohme LLC
NCT06554613,PHASE2,RECRUITING,156,Second Affiliated Hospital of Nanchang University
NCT04322617,PHASE2/PHASE3,RECRUITING,1200,Hunan Province Tumor Hospital
NCT06974370,PHASE2,RECRUITING,45,University of Vermont Medical Center
NCT01761747,PHASE2/PHASE3,TERMINATED,3,Dana-Farber Cancer Institute
NCT01057212,PHASE2,TERMINATED,6,Providence Health & Services
NCT05987956,PHASE2/PHASE3,ACTIVE_NOT_RECRUITING,600,"Han Xu, M.D., Ph.D., FAPCR, Sponsor-Investigator, IRB Chair"
NCT06279754,PHASE2,UNKNOWN,30,The First Affiliated Hospital of Xinxiang Medical College
NCT06866717,NA,RECRUITING,38,ADIR Association
NCT01336842,PHASE1,COMPLETED,23,"University of California, Davis"
NCT04289259,,TERMINATED,6,Assistance Publique - Hôpitaux de Paris
NCT04167774,PHASE2,UNKNOWN,62,Sun Yat-sen University
NCT06934590,PHASE1,NOT_YET_RECRUITING,18,GeneCraft Inc.
NCT02412371,PHASE1/PHASE2,TERMINATED,48,AbbVie
NCT02919449,PHASE1,TERMINATED,2,"Vyriad, Inc."
NCT05403385,PHASE2,ACTIVE_NOT_RECRUITING,36,iTeos Therapeutics
NCT04563871,PHASE2,COMPLETED,73,Samsung Medical Center
NCT06360211,PHASE1,COMPLETED,15,Bayer
NCT02106546,PHASE3,COMPLETED,970,AbbVie
NCT05639751,PHASE1,COMPLETED,135,Prelude Therapeutics
NCT02841579,PHASE2,COMPLETED,22,MedSIR
NCT02587689,PHASE1/PHASE2,UNKNOWN,20,"PersonGen BioTherapeutics (Suzhou) Co., Ltd."
NCT01549093,PHASE2,UNKNOWN,90,Hunan Province Tumor Hospital
NCT04822298,PHASE1,TERMINATED,3,Amgen
NCT01702714,PHASE1,WITHDRAWN,0,Hoffmann-La Roche
NCT03526900,PHASE2,COMPLETED,40,Spanish Lung Cancer Group
NCT05800223,PHASE3,RECRUITING,300,"Shanghai Cancer Hospital, China"
NCT07685197,PHASE2,NOT_YET_RECRUITING,100,Zhou Chengzhi
NCT05785845,NA,ACTIVE_NOT_RECRUITING,17,Washington University School of Medicine
NCT01795521,PHASE2,UNKNOWN,39,European Organisation for Research and Treatment of Cancer - EORTC
NCT07622186,PHASE2,NOT_YET_RECRUITING,150,"Sichuan Kelun-Biotech Biopharmaceutical Co., Ltd."
NCT00073723,PHASE1/PHASE2,COMPLETED,75,Celgene Corporation
NCT07286942,PHASE2,NOT_YET_RECRUITING,24,Jiangsu Cancer Institute & Hospital
NCT06106802,PHASE2,RECRUITING,47,Samsung Medical Center
NCT07160335,PHASE1,RECRUITING,174,Shanghai Henlius Biotech
NCT01999985,PHASE1,COMPLETED,25,H. Lee Moffitt Cancer Center and Research Institute
NCT05347797,NA,COMPLETED,495,"QIAGEN Gaithersburg, Inc"
NCT02220894,PHASE3,COMPLETED,1274,Merck Sharp & Dohme LLC
NCT02858869,PHASE1,COMPLETED,25,Emory University
NCT07121387,,COMPLETED,221,"Shanghai Pulmonary Hospital, Shanghai, China"
NCT02350764,PHASE2,COMPLETED,29,Memorial Sloan Kettering Cancer Center
NCT07513376,PHASE3,RECRUITING,876,Merck Sharp & Dohme LLC
NCT05482568,PHASE1/PHASE2,RECRUITING,324,"Jiangsu HengRui Medicine Co., Ltd."
NCT03822351,PHASE2,COMPLETED,189,MedImmune LLC
NCT01772797,PHASE1,COMPLETED,22,Novartis Pharmaceuticals
NCT05748093,PHASE4,RECRUITING,60,Maastricht University Medical Center
NCT06239194,PHASE1/PHASE2,RECRUITING,285,"ModeX Therapeutics, An OPKO Health Company"
NCT05451173,PHASE1/PHASE2,UNKNOWN,83,Alexander Chi
NCT00807170,PHASE1,TERMINATED,5,Sanofi
NCT06718309,PHASE2,RECRUITING,40,First People's Hospital of Hangzhou
NCT04716933,PHASE3,COMPLETED,201,Merck Sharp & Dohme LLC
NCT03132922,PHASE1,ACTIVE_NOT_RECRUITING,71,"USWM CT, LLC"
NCT03808480,PHASE2,UNKNOWN,22,"National Cancer Center, Korea"
NCT06331650,PHASE2,UNKNOWN,30,Guangzhou Institute of Respiratory Disease
NCT05117138,PHASE1/PHASE2,UNKNOWN,39,"Beijing Immunochina Medical Science & Technology Co., Ltd."
NCT04950400,NA,UNKNOWN,60,Beijing Chest Hospital
NCT05089916,PHASE2,ACTIVE_NOT_RECRUITING,42,AIO-Studien-gGmbH
NCT03138889,PHASE1/PHASE2,TERMINATED,162,Nektar Therapeutics
NCT01342770,PHASE2,TERMINATED,6,National Cancer Institute (NCI)
NCT02845856,PHASE1/PHASE2,COMPLETED,30,"Fuda Cancer Hospital, Guangzhou"
NCT06955988,PHASE1,RECRUITING,120,"Allist Pharmaceuticals, Inc."
NCT07683832,EARLY_PHASE1,NOT_YET_RECRUITING,50,The Affiliated Nanjing Drum Tower Hospital of Nanjing University Medical School
NCT03371550,PHASE2,COMPLETED,44,Centre Antoine Lacassagne
NCT05933239,PHASE2,RECRUITING,20,Universitair Ziekenhuis Brussel
NCT01998126,PHASE1,COMPLETED,14,University of Utah
NCT04056247,,ACTIVE_NOT_RECRUITING,10000,OncoHost Ltd.
NCT02442349,PHASE2,COMPLETED,171,AstraZeneca
NCT02713529,PHASE1/PHASE2,COMPLETED,117,"AmMax Bio, Inc."
NCT06221475,PHASE1,COMPLETED,8,Bayer
NCT07609121,PHASE2,RECRUITING,160,Sun Yat-sen University
NCT05676931,PHASE2,ACTIVE_NOT_RECRUITING,400,Gilead Sciences
NCT02053285,,COMPLETED,9,Rush University Medical Center
NCT02393209,PHASE1/PHASE2,TERMINATED,14,"Millennium Pharmaceuticals, Inc."
NCT02035683,NA,UNKNOWN,220,"National Cancer Institute, Naples"
NCT06765109,PHASE3,RECRUITING,450,Nuvalent Inc.
NCT03881488,PHASE1,COMPLETED,100,Compass Therapeutics
NCT05472623,PHASE2,WITHDRAWN,0,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins
NCT03433469,PHASE2,ACTIVE_NOT_RECRUITING,27,"University of California, San Francisco"
NCT04761783,,COMPLETED,290,"Natera, Inc."
NCT03808701,PHASE1,UNKNOWN,50,Sinocelltech Ltd.
NCT01023828,,COMPLETED,150,National Institute of Cancerología
NCT02574078,PHASE1/PHASE2,COMPLETED,341,Bristol-Myers Squibb
NCT04997382,PHASE2,COMPLETED,112,Hunan Province Tumor Hospital
NCT05807893,PHASE2/PHASE3,COMPLETED,40,Sun Yat-sen University
NCT03517332,,UNKNOWN,10000,Quantgene Inc.
NCT06428422,NA,RECRUITING,100,Necmettin Erbakan University
NCT06557967,,COMPLETED,22517,Daiichi Sankyo
NCT00522886,PHASE1,COMPLETED,24,Maastricht Radiation Oncology
NCT06463665,PHASE2,RECRUITING,142,Genelux Corporation
NCT07106827,PHASE1,RECRUITING,10,West China Hospital
NCT02103257,PHASE4,UNKNOWN,192,"Betta Pharmaceuticals Co., Ltd."
NCT05124743,,TERMINATED,19,Alaunos Therapeutics
NCT01977209,PHASE3,UNKNOWN,204,Third Military Medical University
NCT05715398,PHASE1/PHASE2,UNKNOWN,90,"Shanghai Gopherwood Biotech Co., Ltd."
NCT00633529,PHASE1,COMPLETED,36,EMD Serono
NCT06773507,PHASE1,RECRUITING,80,"Sichuan Luzhou Buchang Biopharmaceutical Co., Ltd."
NCT00231465,PHASE2,COMPLETED,44,H. Lee Moffitt Cancer Center and Research Institute
NCT05468294,PHASE1/PHASE2,UNKNOWN,3,Philogen S.p.A.
NCT03127319,PHASE2,UNKNOWN,40,Affiliated Hospital of Hebei University
NCT06465069,PHASE1,RECRUITING,420,Eli Lilly and Company
NCT02299141,PHASE2,COMPLETED,20,Washington University School of Medicine
NCT05899608,PHASE3,RECRUITING,1600,Summit Therapeutics
NCT04040361,PHASE2,UNKNOWN,24,Masahiro Tsuboi
NCT06109558,PHASE1/PHASE2,RECRUITING,120,Hunan Province Tumor Hospital
NCT05652868,PHASE1,TERMINATED,227,Mythic Therapeutics
NCT06077760,PHASE3,RECRUITING,868,Merck Sharp & Dohme LLC
NCT01971489,PHASE1,WITHDRAWN,0,Roswell Park Cancer Institute
NCT06109454,,RECRUITING,240,Liaoning Cancer Hospital & Institute
NCT00188214,PHASE2,COMPLETED,38,"University Health Network, Toronto"
NCT05161325,,ACTIVE_NOT_RECRUITING,525,Bristol-Myers Squibb
NCT02450539,PHASE2,COMPLETED,159,Eli Lilly and Company
NCT05613452,PHASE2,RECRUITING,43,Shanghai Proton and Heavy Ion Center
NCT03481114,PHASE2,COMPLETED,55,Albert Einstein College of Medicine
NCT00191308,PHASE2,COMPLETED,30,Eli Lilly and Company
NCT01500824,PHASE2,WITHDRAWN,0,Pfizer
NCT00771563,PHASE3,COMPLETED,104,"University Hospital, Antwerp"
NCT02448758,,COMPLETED,518,Centre Oscar Lambret
NCT02967497,PHASE2,UNKNOWN,56,"Taipei Veterans General Hospital, Taiwan"
NCT03624309,PHASE2,UNKNOWN,84,Hunan Cancer Hospital
NCT01174563,PHASE2,COMPLETED,60,Hoffmann-La Roche
NCT07005401,,COMPLETED,1064,The First Affiliated Hospital with Nanjing Medical University
NCT01784640,PHASE1,COMPLETED,13,Jonsson Comprehensive Cancer Center
NCT01860040,PHASE2,TERMINATED,1,Western Regional Medical Center
NCT00094861,PHASE2,COMPLETED,100,Swedish Orphan Biovitrum
NCT07222566,PHASE3,RECRUITING,1410,Pfizer
NCT05215574,PHASE1,ACTIVE_NOT_RECRUITING,130,"NGM Biopharmaceuticals, Inc"
NCT06295432,PHASE2,RECRUITING,90,Dizal Pharmaceuticals
NCT03129256,PHASE2,COMPLETED,52,Changzhou Cancer Hospital of Soochow University
NCT06724263,PHASE2,NOT_YET_RECRUITING,120,"Tasly Biopharmaceuticals Co., Ltd."
NCT03001882,PHASE2,COMPLETED,230,Bristol-Myers Squibb
NCT01806675,PHASE1/PHASE2,COMPLETED,25,Sanjiv Sam Gambhir
NCT06357533,PHASE3,RECRUITING,675,AstraZeneca
NCT05029882,PHASE1,ACTIVE_NOT_RECRUITING,520,AbbVie
NCT07630168,PHASE2,NOT_YET_RECRUITING,238,UNC Lineberger Comprehensive Cancer Center
NCT00373425,PHASE3,COMPLETED,1252,OSI Pharmaceuticals
NCT05441956,PHASE1,ACTIVE_NOT_RECRUITING,198,"Shenzhen TargetRx Co., Ltd."
NCT05573035,PHASE1,TERMINATED,39,"Lyell Immunopharma, Inc."
NCT03091491,PHASE2,TERMINATED,31,"National Cancer Centre, Singapore"
NCT07197853,PHASE3,NOT_YET_RECRUITING,180,Xin Ye
NCT04878952,NA,TERMINATED,3,NRG Oncology
NCT06132191,,APPROVED_FOR_MARKETING,,Regeneron Pharmaceuticals
NCT02582125,PHASE2,COMPLETED,53,"Ono Pharmaceutical Co., Ltd."
NCT00087269,PHASE2,TERMINATED,110,National Cancer Institute (NCI)
NCT04439890,PHASE3,UNKNOWN,369,"Chia Tai Tianqing Pharmaceutical Group Co., Ltd."
NCT04204928,,APPROVED_FOR_MARKETING,,Blueprint Medicines Corporation
NCT02135679,,COMPLETED,204,Abramson Cancer Center at Penn Medicine
NCT00173875,PHASE2,COMPLETED,108,National Taiwan University Hospital
NCT04151563,PHASE1/PHASE2,WITHDRAWN,0,Bristol-Myers Squibb
NCT05937906,PHASE1/PHASE2,RECRUITING,24,Centre Georges Francois Leclerc
NCT01595074,,NOT_YET_RECRUITING,950,National Cancer Institute (NCI)
NCT01936961,NA,WITHDRAWN,0,Western Regional Medical Center
NCT01507740,,TERMINATED,60,Medical University Innsbruck
NCT05194735,PHASE1/PHASE2,TERMINATED,8,Alaunos Therapeutics
NCT02538627,PHASE1,TERMINATED,5,Merrimack Pharmaceuticals
NCT00862004,PHASE2,UNKNOWN,30,The First Affiliated Hospital of Guangzhou Medical University
NCT07416474,PHASE3,RECRUITING,574,"RemeGen Co., Ltd."
NCT06582940,PHASE2,RECRUITING,168,Sun Yat-sen University
NCT02544633,PHASE2,COMPLETED,68,Mirati Therapeutics Inc.
NCT02423343,PHASE1/PHASE2,COMPLETED,41,Eli Lilly and Company
NCT07555210,NA,RECRUITING,25,Jessica Mezzanotte Sharpe
NCT07608835,NA,RECRUITING,200,Institut Paoli-Calmettes
NCT00641238,,COMPLETED,20,State University of New York - Upstate Medical University
NCT00845143,,UNKNOWN,100,Heidelberg University
NCT05780307,PHASE1,UNKNOWN,48,ImmuneOnco Biopharmaceuticals (Shanghai) Inc.
NCT07498595,EARLY_PHASE1,NOT_YET_RECRUITING,50,Tianjin Medical University General Hospital
NCT00099879,PHASE2,TERMINATED,,Bristol-Myers Squibb
NCT01051362,PHASE2,UNKNOWN,48,The First Affiliated Hospital of Guangzhou Medical University
NCT00534027,PHASE1/PHASE2,COMPLETED,172,Amgen
NCT00633789,PHASE2,COMPLETED,597,Bristol-Myers Squibb
NCT05246514,PHASE2,ACTIVE_NOT_RECRUITING,72,AstraZeneca
NCT06955325,PHASE3,NOT_YET_RECRUITING,270,The First Affiliated Hospital of Guangzhou Medical University
NCT07079475,PHASE1/PHASE2,RECRUITING,160,"Dizal (Jiangsu) Pharmaceutical Co., Ltd."
NCT07641023,PHASE1/PHASE2,RECRUITING,60,Beijing Biotech
NCT05721950,,ACTIVE_NOT_RECRUITING,154,Takeda
NCT03505515,,COMPLETED,6205,Bristol-Myers Squibb
NCT03559647,,COMPLETED,358,Hoffmann-La Roche
NCT02771626,PHASE1/PHASE2,TERMINATED,118,"Calithera Biosciences, Inc"
NCT00698373,,COMPLETED,,Gunma University
NCT00846443,PHASE1,UNKNOWN,12,Fudan University
NCT00870870,PHASE2,COMPLETED,64,Eli Lilly and Company
NCT06370416,PHASE2,ENROLLING_BY_INVITATION,41,Henan Cancer Hospital
NCT05585034,PHASE1,COMPLETED,60,"Xencor, Inc."
NCT00800202,PHASE2,COMPLETED,91,Hoffmann-La Roche
NCT04875806,PHASE1/PHASE2,TERMINATED,40,"NextCure, Inc."
NCT05450081,,COMPLETED,140,Hunan Province Tumor Hospital
NCT00585195,PHASE1,COMPLETED,596,Pfizer
NCT02803619,,UNKNOWN,60,Peking Union Medical College Hospital
NCT02949843,PHASE2,TERMINATED,19,Wake Forest University Health Sciences
NCT01540045,,COMPLETED,40,Instituto Nacional de Cancerologia de Mexico
NCT06146920,NA,ACTIVE_NOT_RECRUITING,39,Massachusetts General Hospital
NCT06586801,,NOT_YET_RECRUITING,800,Shanghai East Hospital
NCT00908336,PHASE2,UNKNOWN,70,Hospital Arnau de Vilanova
NCT01964157,PHASE2,UNKNOWN,32,Yonsei University
NCT01106781,,COMPLETED,591,AstraZeneca
NCT02029729,PHASE1,COMPLETED,11,Biogen
NCT07468071,PHASE1/PHASE2,RECRUITING,40,Novartis Pharmaceuticals
NCT05503888,PHASE1/PHASE2,NOT_YET_RECRUITING,160,"Suzhou Suncadia Biopharmaceuticals Co., Ltd."
NCT01610336,PHASE2,COMPLETED,161,Novartis Pharmaceuticals
NCT01619241,,UNKNOWN,15,The Catholic University of Korea
NCT03602027,NA,UNKNOWN,9,Second Affiliated Hospital of Nanchang University
NCT06497556,PHASE3,ACTIVE_NOT_RECRUITING,338,Hoffmann-La Roche
NCT05374538,PHASE1,TERMINATED,3,"Vitrac Therapeutics, LLC"
NCT07172802,PHASE1/PHASE2,RECRUITING,76,"GI Innovation, Inc."
NCT00264134,PHASE1/PHASE2,TERMINATED,40,Kentuckiana Cancer Institute
NCT02014337,PHASE1,COMPLETED,37,Corcept Therapeutics
NCT05363319,,RECRUITING,500,Regeneron Pharmaceuticals
NCT07353476,PHASE2,NOT_YET_RECRUITING,38,Shanghai Zhongshan Hospital
NCT02447900,PHASE1,COMPLETED,15,Steen Riisgaard Mortensen
NCT07154706,PHASE3,RECRUITING,180,Nuvation Bio Inc.
NCT02451865,PHASE1,WITHDRAWN,0,Jonsson Comprehensive Cancer Center
NCT07462377,PHASE1,RECRUITING,110,EpiBiologics
NCT05256290,PHASE1/PHASE2,ACTIVE_NOT_RECRUITING,200,"Black Diamond Therapeutics, Inc."
NCT06345729,PHASE3,RECRUITING,600,Merck Sharp & Dohme LLC
NCT02667743,PHASE3,UNKNOWN,454,"Shanghai Yizhong Pharmaceutical Co., Ltd."
NCT01935947,PHASE2,TERMINATED,17,National Cancer Institute (NCI)
NCT01528137,PHASE1,TERMINATED,4,Stanford University
NCT07164313,PHASE1,RECRUITING,100,Zymeworks BC Inc.
NCT03656627,PHASE1,TERMINATED,7,"Alliance Foundation Trials, LLC."
NCT05789082,PHASE1/PHASE2,RECRUITING,320,Hoffmann-La Roche
NCT04739358,PHASE1/PHASE2,TERMINATED,2,"Criterium, Inc."
NCT04238130,,COMPLETED,132,Sun Yat-sen University
NCT01635270,PHASE2,COMPLETED,54,Centre Leon Berard
NCT00638937,PHASE2,COMPLETED,37,National Cancer Institute (NCI)
NCT07566052,PHASE3,RECRUITING,356,"Astellas Pharma Global Development, Inc."
NCT02507518,PHASE2,UNKNOWN,80,Centre Henri Becquerel
NCT07461727,PHASE1,NOT_YET_RECRUITING,15,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences"
NCT02370017,PHASE2,UNKNOWN,68,The Catholic University of Korea
NCT00963807,PHASE2,COMPLETED,26,National Cancer Institute (NCI)
NCT02454842,PHASE2,TERMINATED,21,Rain Oncology Inc
NCT03700437,NA,COMPLETED,12,Indiana University
NCT01941303,,COMPLETED,34,Maastricht Radiation Oncology
NCT00341380,,COMPLETED,41,National Institute of Environmental Health Sciences (NIEHS)
NCT07348965,NA,RECRUITING,42,Guangzhou University of Traditional Chinese Medicine
NCT04416633,PHASE4,COMPLETED,100,AstraZeneca
NCT02730247,PHASE2,COMPLETED,7,"Liza Villaruz, MD"
NCT06627647,PHASE3,RECRUITING,878,AstraZeneca
NCT04623775,PHASE2,COMPLETED,468,Bristol-Myers Squibb
NCT02651441,PHASE1/PHASE2,UNKNOWN,60,"Shenzhen Hornetcorn Bio-technology Company, LTD"
NCT02819024,NA,COMPLETED,6,Barbara Ann Karmanos Cancer Institute
NCT07030257,PHASE1/PHASE2,RECRUITING,150,Tasca Therapeutics
NCT02831959,PHASE3,COMPLETED,298,NovoCure GmbH
NCT07563205,,RECRUITING,100,GFPC Investigation
NCT01996332,PHASE2,COMPLETED,1805,Hoffmann-La Roche
NCT02012231,PHASE1,TERMINATED,5,Fore Biotherapeutics
NCT06823258,PHASE1,NOT_YET_RECRUITING,32,"Jiangsu Hansoh Pharmaceutical Co., Ltd."
NCT00694603,PHASE2,TERMINATED,56,Lecia V. Sequist
NCT02793856,PHASE1,COMPLETED,12,Sichuan University
NCT03455829,PHASE1/PHASE2,COMPLETED,30,"G1 Therapeutics, Inc."
NCT06812871,PHASE2,COMPLETED,46,Sun Yat-sen University
NCT03447769,PHASE3,TERMINATED,1382,Novartis Pharmaceuticals
NCT01928576,PHASE2,COMPLETED,143,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins
NCT02409355,PHASE3,TERMINATED,8,Hoffmann-La Roche
NCT00702182,PHASE1,COMPLETED,30,"National Cancer Centre, Singapore"
NCT06272864,,RECRUITING,400,BostonGene
NCT00198406,,COMPLETED,1653,Intergroupe Francophone de Cancerologie Thoracique
NCT00888823,PHASE1/PHASE2,COMPLETED,13,AHS Cancer Control Alberta
NCT02573506,PHASE2,COMPLETED,99,Sun Yat-sen University
NCT01763645,PHASE3,COMPLETED,353,Biocad
NCT04914897,PHASE2,TERMINATED,106,Sanofi
NCT00246181,PHASE1/PHASE2,COMPLETED,117,Jill Deluca
NCT02738983,PHASE2,UNKNOWN,22,Hangzhou Cancer Hospital
NCT01158144,PHASE2,UNKNOWN,134,Zhejiang Cancer Hospital
NCT03289780,,ACTIVE_NOT_RECRUITING,5006,"Biodesix, Inc."
NCT02426658,PHASE2,COMPLETED,16,Wake Forest University Health Sciences
NCT06755684,PHASE2,RECRUITING,60,Peng Zhang
NCT03656094,PHASE2,UNKNOWN,98,Samsung Medical Center
NCT04129502,PHASE3,ACTIVE_NOT_RECRUITING,354,Takeda
NCT03525782,PHASE1/PHASE2,UNKNOWN,60,The First Affiliated Hospital of Guangdong Pharmaceutical University
NCT05227326,PHASE1,RECRUITING,92,City of Hope Medical Center
NCT05546905,,COMPLETED,206,Pierre Fabre Medicament
NCT01441752,PHASE3,COMPLETED,349,xuling
NCT01788332,PHASE2,UNKNOWN,70,Lisette Nixon
NCT02607423,PHASE2,WITHDRAWN,0,ECOG-ACRIN Cancer Research Group
NCT03242915,PHASE2,COMPLETED,33,University of Michigan Rogel Cancer Center
NCT02064491,PHASE2,COMPLETED,18,Finnish Lung Cancer Group
NCT03371485,PHASE1,COMPLETED,9,Cancer Research UK
NCT07660094,PHASE3,RECRUITING,500,"Candel Therapeutics, Inc."
NCT07122258,NA,RECRUITING,7,Tau Medical Australia Pty Ltd
NCT03499834,PHASE2,COMPLETED,26,"Ivy Life Sciences, Co., Ltd"
NCT00697333,PHASE2,UNKNOWN,200,Arbeitsgemeinschaft Nuklearmedizin und Strahlentherapie der DEGRO und DGN
NCT02047344,PHASE2,COMPLETED,31,Golden Biotechnology Corporation
NCT06250829,,UNKNOWN,60,London Health Sciences Centre Research Institute OR Lawson Research Institute of St. Joseph's
NCT02752126,NA,COMPLETED,90,London Health Sciences Centre Research Institute OR Lawson Research Institute of St. Joseph's
NCT00948675,PHASE3,COMPLETED,361,Eli Lilly and Company
NCT06639191,EARLY_PHASE1,RECRUITING,15,Karolinska University Hospital
NCT02250378,NA,WITHDRAWN,0,University of Southern California
NCT05278364,PHASE1/PHASE2,UNKNOWN,184,Shouyao Holdings (Beijing) Co. LTD
NCT06870487,PHASE1,TERMINATED,6,Pfizer
NCT04702009,PHASE2/PHASE3,COMPLETED,33,"Shanghai Pulmonary Hospital, Shanghai, China"
NCT02445924,,COMPLETED,40,Adel Salah Bediwy
NCT05418660,,UNKNOWN,300,University of Milano Bicocca
NCT04087473,,COMPLETED,50,"National Cancer Centre, Singapore"
NCT00820755,PHASE3,COMPLETED,583,"Merck KGaA, Darmstadt, Germany"
NCT02387216,PHASE2,TERMINATED,153,Elevation Oncology
NCT06534489,,RECRUITING,50,Ruijin Hospital
NCT00330746,PHASE2,COMPLETED,100,"National Cancer Institute, Naples"
NCT06306456,PHASE1/PHASE2,RECRUITING,94,"Suzhou Genhouse Bio Co., Ltd."
NCT00380666,NA,WITHDRAWN,0,University of Aarhus
NCT02755675,PHASE2,UNKNOWN,120,"Rigshospitalet, Denmark"
NCT04332367,PHASE2,RECRUITING,59,Abramson Cancer Center at Penn Medicine
NCT06161441,PHASE2,ACTIVE_NOT_RECRUITING,195,Regeneron Pharmaceuticals
NCT06700421,PHASE2,ACTIVE_NOT_RECRUITING,32,Wei Zhou
NCT02299505,PHASE1,COMPLETED,306,Novartis Pharmaceuticals
NCT03156868,,COMPLETED,153,Spanish Lung Cancer Group
NCT03856697,PHASE3,UNKNOWN,406,"Hangzhou ACEA Pharmaceutical Research Co., Ltd."
NCT06140082,,UNKNOWN,477,LI YAN
NCT04541706,PHASE4,COMPLETED,100,Pfizer
NCT01640847,PHASE2,WITHDRAWN,0,Imunon
NCT07146230,PHASE2,NOT_YET_RECRUITING,52,Montefiore Medical Center
NCT04473703,,UNKNOWN,300,Shanghai Chest Hospital
NCT07517198,PHASE1,RECRUITING,40,"Exscientia AI Ltd., a wholly owned subsidiary of Recursion Pharmaceuticals, Inc."
NCT04758949,PHASE2,WITHDRAWN,0,Flame Biosciences
NCT00518011,PHASE2,COMPLETED,17,Hoffmann-La Roche
NCT00319514,PHASE2,COMPLETED,78,Gachon University Gil Medical Center
NCT05453721,NA,COMPLETED,272,The First Affiliated Hospital of Nanchang University
NCT06074588,PHASE3,ACTIVE_NOT_RECRUITING,556,Merck Sharp & Dohme LLC
NCT00723957,PHASE2,COMPLETED,260,R-Pharm
NCT01438307,PHASE2,COMPLETED,28,University of Alabama at Birmingham
NCT04749407,,UNKNOWN,50,First People's Hospital of Hangzhou
NCT03224871,EARLY_PHASE1,COMPLETED,3,"University of California, Davis"
NCT05648955,EARLY_PHASE1,UNKNOWN,118,Nutricia Research
NCT00385606,PHASE2/PHASE3,COMPLETED,400,"National Cancer Institute, Naples"
NCT02804217,,UNKNOWN,60,Zhejiang Cancer Hospital
NCT03539536,PHASE2,ACTIVE_NOT_RECRUITING,270,AbbVie
NCT02195453,PHASE4,UNKNOWN,520,Shandong Cancer Hospital and Institute
NCT00977470,PHASE2,ACTIVE_NOT_RECRUITING,76,Massachusetts General Hospital
NCT07073365,PHASE2,RECRUITING,70,Pusan National University Hospital
NCT00887549,PHASE2,COMPLETED,70,Eli Lilly and Company
NCT02338011,PHASE2/PHASE3,UNKNOWN,210,Shanghai Chest Hospital
NCT07175220,PHASE2,RECRUITING,200,"Jiangsu HengRui Medicine Co., Ltd."
NCT05013450,PHASE1/PHASE2,ACTIVE_NOT_RECRUITING,33,Thomas Marron
NCT05243355,PHASE2,UNKNOWN,46,Qilu Hospital of Shandong University
NCT03130881,PHASE1,UNKNOWN,60,Beijing Pearl Biotechnology Limited Liability Company
NCT01752023,PHASE2,TERMINATED,3,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins
NCT03164772,PHASE1/PHASE2,COMPLETED,61,Ludwig Institute for Cancer Research
NCT01497665,PHASE2,TERMINATED,16,Angiochem Inc
NCT03667820,PHASE2,ACTIVE_NOT_RECRUITING,41,University of Texas Southwestern Medical Center
NCT01356368,PHASE2,TERMINATED,3,National Guard Health Affairs
NCT00269152,PHASE2,COMPLETED,122,Eli Lilly and Company
NCT01657799,PHASE2,COMPLETED,307,"AbbVie (prior sponsor, Abbott)"
NCT02013219,PHASE1,COMPLETED,52,Hoffmann-La Roche
NCT01167530,PHASE1,COMPLETED,26,"Gustave Roussy, Cancer Campus, Grand Paris"
NCT01822496,PHASE2,TERMINATED,59,National Cancer Institute (NCI)
NCT05377658,PHASE2,RECRUITING,43,Henan Cancer Hospital
NCT07239661,NA,RECRUITING,120,Kong Fanming
NCT05552781,PHASE1/PHASE2,UNKNOWN,76,RedCloud Bio
NCT03560791,,COMPLETED,7659,St Elizabeth Healthcare
NCT00397384,PHASE1,COMPLETED,43,National Cancer Institute (NCI)
NCT01194050,,COMPLETED,289,Hoffmann-La Roche
NCT03631784,PHASE2,COMPLETED,216,Merck Sharp & Dohme LLC
NCT03735680,PHASE2,COMPLETED,30,"OncoNano Medicine, Inc."
