"nct_id","phase","overall_status","enrollment","start_date"
NCT07518160,PHASE2,RECRUITING,35,2026-04-21
NCT06772610,PHASE2,NOT_YET_RECRUITING,40,2025-03-15
NCT03184571,PHASE2,COMPLETED,99,2017-10-02
NCT06858813,PHASE1,RECRUITING,232,2025-04-14
NCT06581419,PHASE1/PHASE2,RECRUITING,78,2024-12-31
NCT04108026,PHASE2,COMPLETED,50,2020-10-14
NCT00191139,PHASE2,COMPLETED,64,2003-03-31
NCT00654758,PHASE1,COMPLETED,33,2007-12-31
NCT06980272,PHASE3,RECRUITING,420,2025-06-20
NCT04267237,PHASE2,WITHDRAWN,0,2021-03-31
NCT00883480,NA,COMPLETED,153,2005-06-30
NCT02695849,,COMPLETED,69,2012-03-31
NCT05387044,PHASE2,UNKNOWN,28,2022-05-01
NCT04114136,PHASE2,RECRUITING,72,2020-09-14
NCT06472245,PHASE3,RECRUITING,363,2024-12-03
NCT02467569,PHASE1,TERMINATED,10,2015-07-03
NCT03348748,EARLY_PHASE1,TERMINATED,20,2017-12-18
NCT06492421,PHASE2,RECRUITING,90,2024-07-01
NCT03273790,,COMPLETED,939,2017-04-01
NCT02515760,NA,ACTIVE_NOT_RECRUITING,120,2014-02-28
NCT04999761,PHASE1,RECRUITING,917,2021-06-01
NCT05442060,PHASE2,RECRUITING,60,2022-07-27
NCT06734702,PHASE3,RECRUITING,497,2024-11-30
NCT02085070,PHASE2,COMPLETED,65,2014-03-31
NCT04852588,NA,RECRUITING,29,2021-11-09
NCT01808430,,COMPLETED,158,2013-03-31
NCT04670913,PHASE2,UNKNOWN,30,2021-06-28
NCT00300729,PHASE3,UNKNOWN,319,2006-05-31
NCT07134413,PHASE2,NOT_YET_RECRUITING,77,2025-08-31
NCT07412041,NA,NOT_YET_RECRUITING,20,2026-07-31
NCT06946836,PHASE2,NOT_YET_RECRUITING,80,2025-04-21
NCT07181473,PHASE1,RECRUITING,200,2025-08-25
NCT01261598,NA,COMPLETED,98,2007-11-30
NCT06088771,PHASE1/PHASE2,RECRUITING,21,2024-03-08
NCT05344209,PHASE2,RECRUITING,138,2022-08-12
NCT04677595,PHASE2,COMPLETED,36,2021-05-17
NCT06706076,PHASE1/PHASE2,RECRUITING,266,2025-01-09
NCT06481566,NA,RECRUITING,30,2024-06-21
NCT03595644,PHASE2,COMPLETED,74,2017-02-12
NCT04994795,,ACTIVE_NOT_RECRUITING,4000,2021-08-21
NCT06929936,PHASE2,RECRUITING,33,2025-05-09
NCT07579221,PHASE1/PHASE2,NOT_YET_RECRUITING,17,2026-11-30
NCT03130192,,UNKNOWN,60,2016-12-22
NCT02315053,NA,COMPLETED,40,2013-03-21
NCT07671560,PHASE4,NOT_YET_RECRUITING,80,2026-07-01
NCT01837511,,COMPLETED,377,2007-08-31
NCT02215356,PHASE2,UNKNOWN,120,2014-08-31
NCT03940703,PHASE2,ACTIVE_NOT_RECRUITING,140,2019-09-19
NCT03246854,PHASE1,TERMINATED,6,2017-07-18
NCT02803333,,COMPLETED,75,2017-02-16
NCT07660055,PHASE1,RECRUITING,156,2026-06-16
NCT04952168,PHASE2,UNKNOWN,26,2021-06-02
NCT06238882,NA,RECRUITING,74,2023-02-23
NCT01668823,PHASE1,COMPLETED,17,2004-02-29
NCT02259621,PHASE2,ACTIVE_NOT_RECRUITING,39,2014-09-30
NCT02066636,PHASE3,COMPLETED,1428,2014-04-09
NCT01323062,PHASE1,COMPLETED,26,2011-05-31
NCT04806412,NA,RECRUITING,100,2021-03-15
NCT03403127,NA,COMPLETED,36,2008-05-20
NCT04148898,PHASE2,UNKNOWN,80,2019-11-01
NCT04765059,PHASE3,ACTIVE_NOT_RECRUITING,98,2021-09-12
NCT02767804,PHASE3,ACTIVE_NOT_RECRUITING,290,2016-06-30
NCT06479759,PHASE2,UNKNOWN,50,2024-01-12
NCT06529822,PHASE1,RECRUITING,64,2025-03-20
NCT04631146,,UNKNOWN,450,2020-11-30
NCT00702975,PHASE2,COMPLETED,35,2008-09-30
NCT01268059,PHASE1/PHASE2,TERMINATED,99,2010-12-16
NCT00556322,PHASE3,COMPLETED,424,2006-03-31
NCT03264794,PHASE4,UNKNOWN,100,2017-08-31
NCT06172478,PHASE2,RECRUITING,740,2024-02-26
NCT03576937,,COMPLETED,207,2019-02-12
NCT03198923,PHASE1,UNKNOWN,30,2017-09-13
NCT03744468,PHASE1/PHASE2,COMPLETED,147,2018-11-13
NCT06477055,,RECRUITING,60,2025-12-02
NCT05689671,PHASE4,ACTIVE_NOT_RECRUITING,136,2023-12-06
NCT06928389,PHASE3,RECRUITING,536,2025-07-08
NCT02140333,PHASE3,UNKNOWN,220,2013-08-31
NCT00881712,NA,TERMINATED,15,2009-06-30
NCT04074967,PHASE1/PHASE2,ACTIVE_NOT_RECRUITING,70,2020-06-11
NCT05790460,NA,TERMINATED,55,2023-05-08
NCT00752076,NA,UNKNOWN,100,2008-04-30
NCT04335292,PHASE2,RECRUITING,200,2021-01-06
NCT03535740,PHASE2,COMPLETED,103,2019-01-31
NCT06993896,,NOT_YET_RECRUITING,38,2025-06-16
NCT05240131,PHASE1/PHASE2,UNKNOWN,88,2022-03-15
NCT05180474,PHASE1/PHASE2,TERMINATED,179,2021-12-13
NCT07428044,PHASE2,RECRUITING,14,2026-02-13
NCT00544960,PHASE2,COMPLETED,106,2007-09-30
NCT03798743,PHASE2,COMPLETED,30,2019-01-01
NCT07590531,PHASE1/PHASE2,NOT_YET_RECRUITING,118,2026-05-01
NCT03945227,PHASE2,WITHDRAWN,0,2019-06-30
NCT06461156,PHASE1,RECRUITING,230,2025-07-22
NCT06317558,,RECRUITING,4000,2024-03-01
NCT03150875,PHASE3,COMPLETED,290,2017-09-01
NCT00084981,PHASE1,COMPLETED,25,2004-04-30
NCT02183870,PHASE2,COMPLETED,34,2014-05-31
NCT06618391,PHASE2,NOT_YET_RECRUITING,84,2024-10-08
NCT02459002,,COMPLETED,209,2012-07-18
NCT00576914,PHASE3,UNKNOWN,1108,2007-06-30
NCT01776684,NA,UNKNOWN,200,2012-06-30
NCT01076231,PHASE1/PHASE2,COMPLETED,34,2010-01-31
NCT07287904,,NOT_YET_RECRUITING,1000,2025-12-25
NCT01457417,PHASE1,COMPLETED,32,2012-01-31
NCT02831491,PHASE2,WITHDRAWN,0,2016-11-30
NCT07140315,PHASE1,RECRUITING,6,2026-07-01
NCT00293085,PHASE2,COMPLETED,37,2001-12-31
NCT05103683,PHASE1,RECRUITING,90,2021-11-17
NCT03060343,EARLY_PHASE1,UNKNOWN,10,2016-11-28
NCT03477474,,TERMINATED,311,2018-04-06
NCT06479005,NA,UNKNOWN,50,2024-07-01
NCT05003622,PHASE1,COMPLETED,3,2021-09-27
NCT06641609,PHASE1,NOT_YET_RECRUITING,166,2024-12-13
NCT01473693,,TERMINATED,1,2011-11-30
NCT02856893,PHASE2,COMPLETED,156,2017-10-10
NCT00211952,PHASE3,SUSPENDED,542,2004-03-31
NCT02577627,,UNKNOWN,5000,2015-09-30
NCT04844073,PHASE1/PHASE2,TERMINATED,95,2021-03-08
NCT05650879,PHASE1,ACTIVE_NOT_RECRUITING,198,2023-03-20
NCT07438600,PHASE2,NOT_YET_RECRUITING,38,2026-02-24
NCT00087191,NA,TERMINATED,30,2004-05-31
NCT04276025,,COMPLETED,2000,2016-07-31
NCT01102517,NA,UNKNOWN,500,2010-01-31
NCT07452003,NA,RECRUITING,30,2026-01-03
NCT01410214,PHASE2,UNKNOWN,80,2011-05-31
NCT02041468,,UNKNOWN,29,2014-01-31
NCT07338396,,NOT_YET_RECRUITING,3000,2026-01-31
NCT07310056,NA,NOT_YET_RECRUITING,126,2026-01-01
NCT01211483,PHASE1/PHASE2,COMPLETED,222,2010-09-30
NCT06885424,,ENROLLING_BY_INVITATION,400,2025-07-31
NCT00573040,,COMPLETED,180,2005-08-31
NCT00855894,PHASE2,COMPLETED,41,2009-03-31
NCT01391260,PHASE2,UNKNOWN,30,2011-07-31
NCT01387269,PHASE3,COMPLETED,484,2011-07-31
NCT07186855,,COMPLETED,500,2021-01-01
NCT03271554,,COMPLETED,355,2017-11-09
NCT02655913,PHASE1/PHASE2,COMPLETED,97,2015-12-31
NCT02031744,PHASE3,COMPLETED,530,2014-01-22
NCT07127874,PHASE1,RECRUITING,165,2025-09-23
NCT07348211,PHASE1,RECRUITING,260,2026-01-19
NCT01753414,PHASE2,UNKNOWN,44,2012-12-31
NCT01071434,,TERMINATED,5,2009-02-28
NCT05609578,PHASE2,ACTIVE_NOT_RECRUITING,90,2022-11-22
NCT01172314,NA,COMPLETED,41,2010-07-13
NCT01348126,PHASE2/PHASE3,TERMINATED,385,2011-05-31
NCT01069640,PHASE1,COMPLETED,9,2010-02-28
NCT03216551,,COMPLETED,1076,2019-03-14
NCT05486988,,UNKNOWN,500,2022-07-31
NCT01100827,,UNKNOWN,,2013-02-28
NCT01525446,EARLY_PHASE1,TERMINATED,7,2011-09-30
NCT00636571,NA,COMPLETED,21,2006-03-31
NCT06465238,PHASE2,NOT_YET_RECRUITING,30,2024-06-30
NCT02055508,NA,COMPLETED,232,2013-12-31
NCT02468661,PHASE1,TERMINATED,23,2015-09-23
NCT05500092,PHASE2,ACTIVE_NOT_RECRUITING,17,2023-01-25
NCT04818333,PHASE1/PHASE2,UNKNOWN,157,2021-04-23
NCT03121417,PHASE2,WITHDRAWN,0,2017-07-21
NCT03922997,PHASE3,COMPLETED,101,2019-07-03
NCT01891123,NA,UNKNOWN,300,2013-06-30
NCT06771960,,RECRUITING,120,2025-02-01
NCT05034445,,COMPLETED,71,2020-01-30
NCT00983047,PHASE2,TERMINATED,30,2009-08-31
NCT00883779,PHASE3,COMPLETED,451,2009-04-30
NCT03300115,PHASE2,UNKNOWN,222,2017-05-18
NCT04419207,,COMPLETED,2236,2019-03-01
NCT01196078,PHASE4,COMPLETED,114,2007-02-28
NCT05882734,PHASE1/PHASE2,ACTIVE_NOT_RECRUITING,61,2023-09-13
NCT04266691,,COMPLETED,237,2009-01-31
NCT03850444,PHASE3,COMPLETED,262,2016-08-01
NCT05265650,PHASE1/PHASE2,UNKNOWN,30,2022-06-13
NCT03510611,PHASE1,COMPLETED,24,2018-03-12
NCT03319316,PHASE2,WITHDRAWN,0,2018-11-01
NCT00085826,PHASE3,COMPLETED,600,2001-04-30
NCT00273507,PHASE3,TERMINATED,270,1998-01-31
NCT04965818,PHASE1,TERMINATED,38,2021-09-20
NCT05767892,PHASE3,NOT_YET_RECRUITING,350,2023-05-01
NCT05553834,PHASE2,ACTIVE_NOT_RECRUITING,60,2023-05-16
NCT02133196,PHASE2,RECRUITING,85,2014-10-23
NCT05585320,PHASE1/PHASE2,ACTIVE_NOT_RECRUITING,209,2022-10-31
NCT05877599,PHASE1,RECRUITING,45,2023-07-12
NCT06015503,PHASE2,ACTIVE_NOT_RECRUITING,139,2023-07-21
NCT05042375,PHASE3,UNKNOWN,450,2022-09-08
NCT02975609,PHASE2,UNKNOWN,100,2016-11-30
NCT05949619,PHASE1/PHASE2,ACTIVE_NOT_RECRUITING,14,2023-09-04
NCT02788461,NA,ACTIVE_NOT_RECRUITING,78,2016-05-31
NCT07264647,PHASE2,RECRUITING,30,2025-03-27
NCT01860508,NA,UNKNOWN,94,2013-02-28
NCT07329322,PHASE2,RECRUITING,60,2026-03-30
NCT07291037,PHASE3,RECRUITING,400,2025-10-31
NCT06623136,PHASE2,RECRUITING,40,2025-04-30
NCT00662311,PHASE1/PHASE2,TERMINATED,5,2008-03-31
NCT00372775,PHASE2,COMPLETED,66,2007-03-31
NCT06310915,,UNKNOWN,30,2023-03-17
NCT01172925,PHASE2,UNKNOWN,34,2010-11-30
NCT03851445,PHASE2/PHASE3,RECRUITING,10000,2019-02-06
