phase,trial_count,avg_enrollment
PHASE2,1130,83.3537777777777778
PHASE1,590,82.8455008488964346
,517,1202.6924643584521385
PHASE3,418,454.4628297362110312
PHASE1/PHASE2,375,116.9385026737967914
NA,271,177.7084870848708487
PHASE2/PHASE3,58,513.7068965517241379
PHASE4,50,411.4285714285714286
EARLY_PHASE1,32,27.3437500000000000
